Brand,Rating (1-10),Model,Type (ex. Student; Professional; Gaming; etc.),Price,CPU - Brand,Model - CPU,Cores - CPU,Speed (GHz),Speed Rating (1-10),RAM - GB,SSD (GB),Storage (1-10),GPU brand,GPU model,USB ports,other ports,OS,Disp. (in),Display - width and resolution height (pixels),Touchscreen,Weight (lbs),Hyperlink
Acer,7,"Acer 15.6"" Chromebook - Silver",Student,299.99,Intel,Intel Celeron N4500,2,2.8,6,8,128,4, Integrated GPU,Integrated,2,Audio Jack,Chrome,15.6,1920 x 1080,FALSE,3.53,https://www.bestbuy.ca/en-ca/product/acer-15-6-chromebook-silver-intel-celeron-n4500-128gb-8gb-ram-chromeos/17739396
HP ,8,UFS Laptop PC,Student,319.99,Intel,Intel N100,4,3.4,7,4,128,3, Integrated GPU,Integrated,1,HDMI,Windows,15.6,1920 x 1080,FALSE,3.52,https://www.staples.ca/products/3069143-en-hp-156-ufs-laptop-pc-intel-processor-n100-128-gb-ssd-4-gb-ram-windows-11-home-s
Asus,8,"Asus 14"" HD Chromebook",Student,199.99,Intel,Intel Celeron N4500,2,1.1,1,4,64,1, Integrated GPU,Integrated,2,,Chrome,14, 1366 x 768,FALSE,3.24,https://www.staples.ca/products/3068763-en-asus-14-hd-chromebook-laptop-with-3-months-of-gemini-advanced-intel-celeron-n4500-64-gb-emmc-4-gb-ram-chrome-os-bilingual?srsltid=AfmBOorVXVg5dWCfASGi5_DFLHP0ZwWUwetYz1M4CbTiZl6UM_UNvdc8GbE
Acer,6,"Acer 14"" 314 FHD Chromebook",Student,199.99,Intel,Intel Celeron N4500,2,1.1,1,4,64,1, Integrated GPU,Integrated,1,,Chrome,14,1920 x 1080,FALSE,3.2,https://www.staples.ca/products/3092996-en-acer-14-314-fhd-chromebook-laptop-with-3-months-of-gemini-advanced-intel-celeron-n4500-64-gb-emmc-4-gb-ram-chrome-os-pure-silver?listId=collection
Lenovo,5,Lenovo IdeaPad Slim Notebook,Student,499.99,Intel,i3,8,3.8,8,8,512,7, Integrated GPU,IntelÃ‚Â® UHD Graphics,1,,Windows,15,"	1920 x 1080",FALSE,3.42,https://www.staples.ca/products/3076749-en-lenovo-ideapad-slim-3i-15-notebook-intel-core-i3-n305-512-gb-ssd-8-gb-ram-windows-11-arctic-grey?listId=collection
HP ,6,HP x360 Chromebook,Student,479.99,Intel,Intel N100,4,3.4,7,4,128,3, Integrated GPU,IntelÃ‚Â® UHD Graphics,1,,Chrome,14,1366 x 768,TRUE,3.32,https://www.staples.ca/products/3088609-en-hp-x360-14-chromebook-laptop-with-3-months-of-gemini-advanced-intel-processor-n100-128-gb-ufs-4-gb-ram-chrome-os?listId=collection
Lenovo,7,Lenovo 14w Gen 2 Laptop,Professional,266,AMD,AMD 3015e,1,1.2,2,4,128,3, Integrated GPU,AMD RadeonÃ¢â€?Graphics,3,,Windows,14,1920 x 1080,FALSE,3.2,https://www.walmart.ca/en/ip/Lenovo-14w-Gen-2-AMD-Laptop-14-FHD-IPS-LED-Backlight-3015e-4GB-128GB/4RBXKM8NL59L
Acer,7,Acer 15.6'' FHD Laptop,Student,399.99,AMD,AMD Athlon Silver 7120U,2,2.4,5,8,256,5,AMD,AMD Radeon Graphics,1,,Windows,15.6,1920 x 1080,FALSE,3.97,https://www.staples.ca/products/3077497-en-acer-156-fhd-laptop-amd-athlon-silver-7120u-256-gb-ssd-8-gb-ram-windows-11-home?listId=collection
Lenovo,9,Lenovo IdeaPad Duet 5,Professional,499.95,Qualcomm,Qualcomm Snapdragon 7c Gen 2,8,2.55,6,8,128,4,Qualcomm,Qualcomm Adreno Graphics,2,,Chrome,13.3,1920 x 1080,TRUE,2.23,https://www.bestbuy.ca/en-ca/product/lenovo-ideapad-duet-5-13-3-touchscreen-2-in-1-chromebook-abyss-blue-qualcomm-snapdragon-7c-gen-2-128gb-ssd-8gb-ram/17732137
Asus,6,Asus X200CA Notebook,Student,379,Intel,Intel Celeron 1007U,1,1.5,2,2,320,1, Integrated GPU,IntelÃ‚Â® UHD Graphics,3,Floppy Drive,Windows,11,1366 x 768,TRUE,2.6,https://www.amazon.ca/11-6-Inch-Notebook-Celeron-Processor-X200CA-DB01T/dp/B00CPIF4G0/ref=sr_1_31?dib=eyJ2IjoiMSJ9.YM8Lyx08HR_-Rz_2KQOEV_1l35EhoBvFrPngUeOjE0bEBd1ueO7iK8e6v6JoQxIMP8IDuzz_27rbYUZTPASeJmlfkwDUmKBllAkERHGFBRyFnvWs6Te22PhgFLzlnWu14Qpug8sfYGX1gIfSjzunPxcpny5S8qZR7q6f8DgIA8DeAuRff5hPEZ9Rnjge5CiFAxDmD6R8QHDzuvs4vUyZyc4Sa8nQ2IbPFrs9SeqNVvW92Mc8MW5O3aFg9qRmSHPuHo6yUwmnRO-uiMm9xKU2-ESDfvsJStxXPflLjmYDU7Y.qh5wvi806bDdFdym_XiJNBE_PWtk5psmyTmveyv-0kw&dib_tag=se&fst=as%3Aoff&m=A3DWYIK6Y9EEQB&qid=1732060414&refinements=p_6%3AA3DWYIK6Y9EEQB&rnid=12035754011&s=electronics&sr=1-31
